Customer Name,Region,Sum of Sales,Sum of Profit,Segment
Craig Leslie,South,18,3.24,Home Office
Craig Leslie,West,1876.916,64.0966,Home Office
Craig Molinari,Central,2772.1004,87.5076,Corporate
Craig Molinari,East,68.53,3.2926,Corporate
Craig Molinari,West,1143.822,85.5106,Corporate
Craig Reiter,Central,444.492,2.3614,Consumer
Craig Reiter,East,1156.058,304.5562,Consumer
Craig Yedwab,Central,729.072,-295.2482,Corporate
Craig Yedwab,East,895.944,190.3881,Corporate
Craig Yedwab,South,554.32,99.4016,Corporate
Craig Yedwab,West,720.69,66.1052,Corporate
Cyma Kinney,Central,719.095,-473.2698,Corporate
Cyma Kinney,East,429.55,136.7938,Corporate
Cyma Kinney,South,132.432,-32.2659,Corporate
Cyma Kinney,West,301.032,30.3108,Corporate
Cynthia Arntzen,Central,822.48,237.7082,Consumer
Cynthia Arntzen,East,1793.121,164.4848,Consumer
Cynthia Arntzen,South,32.8,6.7423,Consumer
Cynthia Arntzen,West,393.165,-204.4458,Consumer
Cynthia Delaney,Central,1058.27,339.7367,Home Office
Cynthia Delaney,East,73.33,21.4053,Home Office
Cynthia Delaney,West,729.132,42.7002,Home Office
Cynthia Voltz,Central,1321.0776,-50.6836,Corporate
Cynthia Voltz,East,728.222,72.2001,Corporate
Cynthia Voltz,West,321.014,77.481,Corporate
Cyra Reiten,Central,702.8424,-52.0626,Home Office
Cyra Reiten,East,681.91,133.2009,Home Office
Cyra Reiten,South,13.12,2.132,Home Office
Damala Kotsonis,Central,1162.772,239.5842,Corporate
Damala Kotsonis,East,167.506,23.5122,Corporate
Damala Kotsonis,South,407.03,121.2049,Corporate
Damala Kotsonis,West,1519.172,496.8215,Corporate
Dan Campbell,Central,563.072,-81.5748,Consumer
Dan Campbell,East,325.586,-238.0694,Consumer
Dan Campbell,South,2447.51,-1121.9871,Consumer
Dan Lawera,Central,6,2.1,Consumer
Dan Lawera,East,223.29,62.2797,Consumer
Dan Lawera,South,214.734,7.1235,Consumer
Dan Lawera,West,1059.088,250.7417,Consumer
Dan Reichenbach,Central,796.324,32.6808,Corporate
Dan Reichenbach,East,2069.326,666.6433,Corporate
Dan Reichenbach,South,287.424,-8.9958,Corporate
Dan Reichenbach,West,3374.96,951.533,Corporate
Dana Kaydos,Central,2660.624,609.5947,Consumer
Dana Kaydos,South,564.384,56.8304,Consumer
Dana Kaydos,West,1057.168,271.2245,Consumer
Daniel Byrd,Central,15.008,-12.0064,Home Office
Daniel Byrd,South,980.658,271.9464,Home Office
Daniel Byrd,West,1175.933,171.4348,Home Office
Daniel Lacy,Central,1034.05,276.0588,Consumer
Daniel Lacy,East,733.56,246.954,Consumer
Daniel Lacy,South,1299.99,-571.9956,Consumer
Daniel Lacy,West,204.6,53.196,Consumer
Daniel Raglin,Central,621.592,-415.9112,Home Office
Daniel Raglin,East,6937.87,3050.3344,Home Office
Daniel Raglin,South,489.03,211.9746,Home Office
Daniel Raglin,West,302.376,22.6782,Home Office
Dario Medina,Central,321.026,37.7127,Corporate
Dario Medina,East,795.408,59.6556,Corporate
Dario Medina,South,81.568,7.1372,Corporate
Dario Medina,West,124.032,4.2528,Corporate
Darren Budd,Central,203.1212,17.785,Corporate
Darren Budd,East,1433.586,84.294,Corporate
Darren Budd,West,1202.52,110.9239,Corporate
Darren Koutras,Central,646.2,-8.0775,Consumer
Darren Koutras,South,740.18,77.8437,Consumer
Darren Koutras,West,300.66,-177.12,Consumer
Darren Powers,Central,533.638,86.2111,Consumer
Darren Powers,East,125.624,-26.9636,Consumer
Darren Powers,South,7.764,-5.176,Consumer
Darren Powers,West,383.61,187.3809,Consumer
Darrin Martin,Central,858.916,52.7593,Consumer
Darrin Martin,East,4952.105,1660.2842,Consumer
Darrin Martin,South,228.586,-45.4718,Consumer
Darrin Martin,West,305.496,9.8214,Consumer
Darrin Sayre,East,400.61,51.6661,Home Office
Darrin Sayre,West,1361.603,141.6658,Home Office
Darrin Van Huff,East,188.552,-2.6936,Corporate
Darrin Van Huff,South,893.331,-441.9734,Corporate
Darrin Van Huff,West,37.6,17.483,Corporate
Dave Brooks,Central,781.152,-279.4041,Consumer
Dave Brooks,East,2040.99,565.4285,Consumer
Dave Brooks,South,871.8,87.18,Consumer
Dave Brooks,West,837.704,99.8228,Consumer
Dave Hallsten,Central,8.712,-19.602,Corporate
Dave Hallsten,East,1445.674,456.5333,Corporate
Dave Hallsten,South,1841.79,669.4113,Corporate
Dave Hallsten,West,1636.696,87.3978,Corporate
Dave Kipp,Central,152.754,47.334,Consumer
Dave Kipp,East,648.691,-1.5866,Consumer
Dave Kipp,South,1061.582,325.2648,Consumer
Dave Kipp,West,787.53,165.3813,Consumer
Dave Poirier,Central,32.56,8.4656,Corporate
Dave Poirier,East,1729.112,500.6314,Corporate
Dave Poirier,West,453.33,54.0791,Corporate
David Bremer,Central,760.98,-1141.47,Corporate
David Bremer,East,1736.172,-377.6814,Corporate
David Bremer,South,277.632,29.748,Corporate
David Bremer,West,198.31,67.6342,Corporate
David Flashing,Central,2067.796,-397.1276,Consumer
David Flashing,East,212.64,99.9408,Consumer
David Flashing,West,110.098,37.8771,Consumer
David Kendrick,Central,433.56,78.5007,Corporate
David Kendrick,East,364.272,171.444,Corporate
David Philippe,Central,8.016,1.002,Consumer
David Philippe,East,1050.6,-41.9396,Consumer
David Smith,Central,1005.4428,115.2968,Corporate
David Smith,East,900.068,-51.0439,Corporate
David Smith,South,92.7,35.8254,Corporate
David Smith,West,883.602,63.621,Corporate
David Wiener,Central,448.418,-34.0652,Corporate
David Wiener,South,4.368,0.3822,Corporate
David Wiener,West,627.965,-53.1908,Corporate
Dean Braden,Central,435.832,57.4183,Consumer
Dean Braden,East,1547.891,110.3935,Consumer
Dean Braden,South,226.502,-11.6085,Consumer
Dean Braden,West,122.352,13.7646,Consumer
Dean Katz,Central,270.356,-3.148,Corporate
Dean Katz,East,1589.956,-242.9915,Corporate
Dean Katz,West,2942.082,456.0389,Corporate
Dean percer,Central,146.89,53.8191,Home Office
Dean percer,East,3122.262,1201.3082,Home Office
Dean percer,South,3464.882,-1016.6618,Home Office
Dean percer,West,464.727,94.8993,Home Office
Deanra Eno,Central,1423.34,401.126,Home Office
Deanra Eno,East,98.364,17.1741,Home Office
Deanra Eno,West,1029.17,46.1713,Home Office
Deborah Brumfield,Central,468.255,-101.8053,Home Office
Deborah Brumfield,East,2845.072,792.8521,Home Office
Deborah Brumfield,West,1342.57,150.7796,Home Office
Debra Catini,Central,144.36,54.7968,Consumer
Debra Catini,South,722.592,91.7498,Consumer
Debra Catini,West,307.666,-14.4784,Consumer
Deirdre Greer,East,2594.042,582.5617,Corporate
Deirdre Greer,West,601.776,-19.7856,Corporate
Delfina Latchford,Central,63.16,-5.962,Consumer
Delfina Latchford,East,1176.244,231.0621,Consumer
Delfina Latchford,South,179.974,45.1107,Consumer
Delfina Latchford,West,38.88,18.6624,Consumer
Denise Leinenbach,Central,508.11,197.9888,Consumer
Denise Leinenbach,East,12.42,5.2164,Consumer
Denise Leinenbach,South,23.12,2.1006,Consumer
Denise Leinenbach,West,41.37,17.3754,Consumer
Denise Monton,Central,445.4,129.1592,Corporate
Denise Monton,East,630.366,-185.4003,Corporate
Denise Monton,South,2755.122,1281.3999,Corporate
Denise Monton,West,243.584,93.8998,Corporate
Dennis Bolton,East,863.842,191.9233,Home Office
Dennis Bolton,West,217.624,99.0852,Home Office
Dennis Kane,Central,1138.792,193.8081,Consumer
Dennis Kane,East,1192.996,-54.2969,Consumer
Dennis Kane,West,986.698,237.5687,Consumer
Dennis Pardue,Central,470.412,-222.1184,Home Office
Dennis Pardue,East,16.656,3.3312,Home Office
Dennis Pardue,South,51.98,0.9284,Home Office
Dennis Pardue,West,4941.676,1789.6906,Home Office
Denny Blanton,Central,526.45,31.587,Consumer
Denny Blanton,East,1098.074,396.4262,Consumer
Denny Blanton,South,87.168,10.896,Consumer
Denny Joy,Central,1454.9,378.274,Corporate
Denny Joy,South,392.94,43.2234,Corporate
Denny Joy,West,164.68,61.5376,Corporate
Denny Ordway,East,570.842,27.6106,Consumer
Denny Ordway,South,459.4335,-158.0592,Consumer
Denny Ordway,West,269.756,91.54,Consumer
Dianna Arnett,Central,16.608,4.1748,Home Office
Dianna Arnett,East,130.512,47.892,Home Office
Dianna Arnett,South,9.64,4.7236,Home Office
Dianna Vittorini,Central,663.75,9.7164,Consumer
Dianna Vittorini,East,1257.82,101.8962,Consumer
Dianna Vittorini,West,1420.017,241.6001,Consumer
Dianna Wilson,Central,3760.41,1158.6641,Home Office
Dianna Wilson,South,598.31,162.9957,Home Office
Dianna Wilson,West,912.908,27.0958,Home Office
Dionis Lloyd,Central,255.58,50.3498,Corporate
Dionis Lloyd,East,1864.592,-309.474,Corporate
Dionis Lloyd,South,316,31.6,Corporate
Dionis Lloyd,West,1103.15,174.7362,Corporate
Don Jones,East,239.898,30.8166,Corporate
Don Jones,South,500.782,188.7399,Corporate
Don Jones,West,1761.008,125.6956,Corporate
Don Miller,Central,52.096,18.1656,Corporate
Don Miller,East,1082.15,167.111,Corporate
Don Miller,South,242.546,14.4922,Corporate
Don Weiss,Central,84.608,-0.3952,Consumer
Don Weiss,East,88.04,22.8904,Consumer
Don Weiss,South,13.152,2.7724,Consumer
Don Weiss,West,158.28,44.3996,Consumer
Dorothy Badders,Central,1407.2048,-195.9448,Corporate
Dorothy Badders,East,636.576,179.4123,Corporate
Dorothy Badders,South,1865.022,125.8595,Corporate
Dorothy Dickinson,Central,92.43,-6.7298,Consumer
Dorothy Dickinson,East,3.304,1.0738,Consumer
Dorothy Dickinson,South,64.188,3.7262,Consumer
Dorothy Dickinson,West,109.62,38.3642,Consumer
Dorothy Wardle,East,788.152,-333.9138,Corporate
Dorothy Wardle,South,223.772,-25.5892,Corporate
Dorothy Wardle,West,192.93,92.6064,Corporate
Dorris liebe,Central,1.624,-4.466,Corporate
Dorris liebe,East,673.818,150.5328,Corporate
Dorris liebe,West,80.16,29.172,Corporate
Doug Bickford,South,440.064,-62.7261,Consumer
Doug Bickford,West,1548.986,501.5273,Consumer
Doug Jacobs,East,3036.43,695.568,Consumer
Doug Jacobs,West,319.968,35.9964,Consumer
Doug O'Connell,Central,76.64,26.824,Consumer
Doug O'Connell,East,517.59,74.6214,Consumer
Doug O'Connell,South,320.462,79.9076,Consumer
Doug O'Connell,West,352.624,112.7146,Consumer
Duane Benoit,Central,17.324,-15.1454,Consumer
Duane Benoit,East,259.062,12.5469,Consumer
Duane Benoit,West,878.816,180.272,Consumer
Duane Huffman,East,85.3,14.501,Home Office
Duane Huffman,South,497.704,86.986,Home Office
Duane Huffman,West,460.092,15.18,Home Office
Duane Noonan,Central,477.3,138.417,Consumer
Duane Noonan,East,711.06,169.3574,Consumer
Duane Noonan,West,951.43,232.7661,Consumer
Ed Braxton,Central,183.3,43.9239,Corporate
Ed Braxton,East,1411.494,-112.1828,Corporate
Ed Braxton,West,2050.184,81.8804,Corporate
Ed Jacobs,Central,92.856,-62.2518,Consumer
Ed Jacobs,East,422.856,15.8571,Consumer
Ed Jacobs,West,1646.462,433.4123,Consumer
Ed Ludwig,Central,86.62,8.662,Home Office
Ed Ludwig,East,37.66,18.4534,Home Office
Edward Becker,Central,341.96,-427.45,Corporate
Edward Becker,East,2034.036,233.1756,Corporate
Edward Becker,South,687.726,58.9568,Corporate
Edward Becker,West,172.592,55.0316,Corporate
Edward Hooks,Central,22.992,5.7996,Corporate
Edward Hooks,East,2840.118,797.961,Corporate
Edward Hooks,West,7447.77,589.7548,Corporate
Edward Nazzal,Central,107.532,47.5668,Consumer
Edward Nazzal,East,2091.834,448.5463,Consumer
Eileen Kiefer,Central,25.488,4.779,Home Office
Eileen Kiefer,West,1277.99,92.3276,Home Office
Eleni McCrary,East,510.634,3.9378,Corporate
Eleni McCrary,West,2056.376,-137.7653,Corporate
Elizabeth Moffitt,Central,1621.652,373.7078,Corporate
Elizabeth Moffitt,East,345.26,154.4214,Corporate
Elizabeth Moffitt,South,30.406,11.3366,Corporate
Elizabeth Moffitt,West,342.28,143.0884,Corporate
Ellis Ballard,Central,94.428,-42.4926,Corporate
Ellis Ballard,East,212.88,0,Corporate
Ellis Ballard,South,13.62,6.129,Corporate
Ellis Ballard,West,4037.2,692.5624,Corporate
Elpida Rittenbach,Central,77.88,22.5852,Corporate
Elpida Rittenbach,South,1106.924,-322.8988,Corporate
Elpida Rittenbach,West,60.984,4.5738,Corporate
Emily Burns,Central,127.869,-9.1335,Consumer
Emily Burns,East,655.182,80.9004,Consumer
Emily Burns,South,464.976,-76.4241,Consumer
Emily Burns,West,1519.192,266.1887,Consumer
Emily Ducich,Central,268.288,-93.2122,Home Office
Emily Ducich,East,2621.322,553.3902,Home Office
Emily Ducich,West,595.31,210.2655,Home Office
Emily Grady,Central,253.428,61.0904,Consumer
Emily Grady,East,1380.872,-12.1864,Consumer
Emily Grady,South,197.72,55.3616,Consumer
Emily Phan,Central,2546.4048,-289.7167,Consumer
Emily Phan,East,1958.774,286.2737,Consumer
Emily Phan,South,277.242,40.8418,Consumer
Emily Phan,West,695.64,107.559,Consumer
Eric Barreto,Central,583.164,-46.782,Consumer
Eric Barreto,South,239.216,12.5256,Consumer
Eric Barreto,West,122.22,34.8606,Consumer
Eric Hoffmann,Central,296.668,28.1341,Consumer
Eric Hoffmann,East,158.319,-35.6058,Consumer
Eric Hoffmann,South,25.92,9.072,Consumer
Eric Hoffmann,West,203.264,51.9395,Consumer
Eric Murdock,Central,111.76,-1.7688,Consumer
Eric Murdock,East,62.604,3.579,Consumer
Eric Murdock,West,759.34,100.4858,Consumer
Erica Bern,South,984.671,112.8868,Corporate
Erica Bern,West,658.584,49.9913,Corporate
Erica Hackney,Central,151.192,13.2293,Consumer
Erica Hackney,East,391.136,83.0546,Consumer
Erica Hackney,South,149.95,65.978,Consumer
Erica Hackney,West,133.672,-11.886,Consumer
Erica Hernandez,Central,269.68,54.4388,Home Office
Erica Hernandez,East,167.638,44.7732,Home Office
Erica Hernandez,South,587.86,-284.0908,Home Office
Erica Hernandez,West,194.352,90.738,Home Office
Erica Smith,Central,117.456,44.046,Consumer
Erica Smith,East,239.97,71.991,Consumer
Erica Smith,South,209.568,-23.5764,Consumer
Erica Smith,West,2943.464,910.8329,Consumer
Erin Ashbrook,Central,1443.41,53.9219,Corporate
Erin Ashbrook,East,989.337,-275.8514,Corporate
Erin Ashbrook,South,205.338,75.3123,Corporate
Erin Ashbrook,West,208.62,93.8766,Corporate
Erin Creighton,Central,38.16,19.08,Consumer
Erin Creighton,East,31.164,7.5344,Consumer
Erin Creighton,South,299.07,43.0824,Consumer
Erin Creighton,West,93.52,26.7288,Consumer
Erin Mull,Central,30.336,-17.4432,Consumer
Erin Mull,East,177.15,62.6246,Consumer
Erin Mull,South,21.504,-5.0268,Consumer
Erin Smith,East,2252.476,220.7677,Corporate
Erin Smith,South,95.616,9.5616,Corporate
Erin Smith,West,2309.832,16.3368,Corporate
Eudokia Martin,East,65.12,16.9312,Corporate
Eudokia Martin,South,520.03,160.2692,Corporate
Eudokia Martin,West,455.892,63.0358,Corporate
Eugene Barchas,East,1976.826,138.2534,Consumer
Eugene Barchas,West,1094.3,46.5122,Consumer
Eugene Hildebrand,Central,703.68,-53.56,Home Office
Eugene Hildebrand,East,1571.918,47.3072,Home Office
Eugene Hildebrand,South,302.524,120.4078,Home Office
Eugene Hildebrand,West,504.531,-17.8848,Home Office
Eugene Moren,Central,1282.61,509.1174,Home Office
Eugene Moren,East,807.54,271.4153,Home Office
Eugene Moren,West,2498.286,538.8328,Home Office
Eva Jacobs,East,1517.049,335.3556,Consumer
Eva Jacobs,South,48.69,23.8581,Consumer
Eva Jacobs,West,1090.952,92.6618,Consumer
Evan Bailliet,Central,352.672,120.2784,Consumer
Evan Bailliet,South,15.856,5.2792,Consumer
Evan Bailliet,West,817.798,156.6125,Consumer
Evan Henry,Central,6.928,-11.0848,Consumer
Evan Henry,East,663.802,181.3361,Consumer
Evan Henry,South,253.154,71.8594,Consumer
Evan Minnotte,Central,298.116,-4.2588,Home Office
Evan Minnotte,South,68.706,26.0309,Home Office
Filia McAdams,East,1484.748,9.6357,Corporate
Filia McAdams,South,898.11,213.9827,Corporate
Filia McAdams,West,73.78,26.0624,Corporate
Frank Atkinson,Central,80.88,-17.0556,Corporate
Frank Atkinson,South,820.42,95.0837,Corporate
Frank Atkinson,West,2082.754,442.4948,Corporate
Frank Carlisle,Central,2377.56,972.2454,Home Office
Frank Carlisle,East,175.272,12.8552,Home Office
Frank Carlisle,South,220.056,19.2549,Home Office
Frank Carlisle,West,645.854,212.8107,Home Office
Frank Gastineau,Central,298.464,26.1156,Home Office
Frank Gastineau,East,903.036,358.2719,Home Office
Frank Gastineau,West,181.644,10.3522,Home Office
Frank Hawley,Central,1262.16,307.9703,Corporate
Frank Hawley,East,1369.532,433.2463,Corporate
Frank Hawley,South,809.628,125.3026,Corporate
Frank Hawley,West,814.952,206.7484,Corporate
Frank Merwin,Central,65.84,-34.463,Home Office
Frank Merwin,East,1803.134,-266.5292,Home Office
Frank Merwin,South,1446.84,376.8408,Home Office
Frank Merwin,West,420.384,122.2609,Home Office
Frank Olsen,Central,209.048,-44.1314,Consumer
Frank Olsen,East,682.216,1.5543,Consumer
Frank Olsen,South,1547.884,291.2678,Consumer
Frank Olsen,West,239.29,-33.0938,Consumer
Frank Preis,Central,1061.328,-140.5778,Consumer
Frank Preis,East,2503.452,450.5159,Consumer
Frank Preis,West,481.966,96.5092,Consumer
Fred Chung,Central,209.664,23.9124,Corporate
Fred Chung,East,51.968,-10.3936,Corporate
Fred Chung,West,3627.734,700.7738,Corporate
Fred Harton,Central,24.816,1.551,Consumer
Fred Harton,East,189.918,-26.9162,Consumer
Fred Harton,South,1142.43,364.3753,Consumer
Fred Harton,West,914.12,367.2789,Consumer
Fred Hopkins,East,1505.772,230.8318,Corporate
Fred Hopkins,South,426.942,-172.4535,Corporate
Fred Hopkins,West,5054.482,1991.9043,Corporate
Fred McMath,Central,1115.528,136.5001,Consumer
Fred McMath,East,166.55,58.3169,Consumer
Fred McMath,South,577.236,-11.6349,Consumer
Fred McMath,West,663.952,8.3077,Consumer
Fred Wasserman,East,43.6,12.208,Corporate
Fred Wasserman,South,19.56,5.4768,Corporate
Fred Wasserman,West,16.59,5.8065,Corporate
Gary Hansen,Central,1831.976,-187.1187,Home Office
Gary Hansen,East,178.21,45.7104,Home Office
Gary Hansen,South,16.218,-10.9566,Home Office
Gary Hansen,West,793.063,-424.4686,Home Office
Gary Hwang,South,12.828,-8.9796,Consumer
Gary Hwang,West,4160.018,1185.3977,Consumer
Gary McGarr,East,583.412,30.096,Consumer
Gary McGarr,South,310.528,17.8716,Consumer
Gary McGarr,West,2688.88,299.2984,Consumer
Gary Mitchum,Central,1199.408,326.2116,Home Office
Gary Mitchum,East,1879.216,467.0698,Home Office
Gary Zandusky,Central,513.15,53.6548,Consumer
Gary Zandusky,East,2587.4,875.3225,Consumer
Gary Zandusky,South,54.66,18.0378,Consumer
Gary Zandusky,West,1199.94,140.7388,Consumer
Gene Hale,Central,1361.244,-95.4498,Corporate
Gene McClure,Central,131.476,-18.9396,Consumer
Gene McClure,East,815.134,359.4975,Consumer
Gene McClure,South,9.952,0.9952,Consumer
Gene McClure,West,299.12,99.7654,Consumer
George Ashbrook,Central,679.392,55.0014,Consumer
George Ashbrook,East,449.454,82.4374,Consumer
George Ashbrook,South,43.68,20.9664,Consumer
George Ashbrook,West,2747.25,682.4938,Consumer
George Bell,Central,18.72,4.1034,Corporate
George Bell,East,890.366,-111.8208,Corporate
George Bell,South,334.95,47.6265,Corporate
George Bell,West,324.404,67.928,Corporate
George Zrebassa,East,46.26,12.4902,Corporate
George Zrebassa,West,2408.362,816.1708,Corporate
Georgia Rosenberg,East,1271.42,353.6124,Corporate
Georgia Rosenberg,West,12.96,6.2208,Corporate
Giulietta Baptist,Central,279.9,137.151,Consumer
Giulietta Baptist,East,260.048,84.8148,Consumer
Giulietta Baptist,South,4176.34,913.8735,Consumer
Giulietta Dortch,East,737.394,-155.2983,Corporate
Giulietta Dortch,South,47.32,22.0028,Corporate
Giulietta Dortch,West,1103.356,364.2328,Corporate
Giulietta Weimer,Central,513.861,-34.4451,Consumer
Giulietta Weimer,East,911.036,-328.5296,Consumer
Giulietta Weimer,South,435.552,44.5783,Consumer
Giulietta Weimer,West,328.57,49.8541,Consumer
Grace Kelly,Central,489.844,59.4482,Corporate
Grace Kelly,East,1793.98,843.1706,Corporate
Grace Kelly,South,64.68,8.085,Corporate
Grace Kelly,West,4148.766,537.8487,Corporate
Grant Thornton,East,1183.792,-283.3195,Corporate
Grant Thornton,South,8167.42,-3825.3394,Corporate
Greg Guthrie,Central,214.72,0.4376,Corporate
Greg Guthrie,East,57.094,5.6275,Corporate
Greg Guthrie,South,157.794,-115.7156,Corporate
Greg Guthrie,West,1794.392,122.349,Corporate
Greg Hansen,Central,146.9408,-5.8102,Consumer
Greg Matthias,East,1140.084,-199.017,Consumer
Greg Matthias,West,2023.544,234.5035,Consumer
Greg Maxwell,South,4251.92,112.2737,Corporate
Greg Maxwell,West,1798.046,76.4498,Corporate
Greg Tran,Central,1196.852,83.6012,Consumer
Greg Tran,East,9382.934,1749.107,Consumer
Greg Tran,West,1240.334,330.7187,Consumer
Guy Armstrong,Central,712.572,-9.6401,Consumer
Guy Armstrong,East,76.864,15.5488,Consumer
Guy Armstrong,South,232.57,85.8446,Consumer
Guy Armstrong,West,376.376,44.9546,Consumer
Guy Phonely,East,236.53,31.8376,Corporate
Guy Thornton,Central,112.912,-39.6382,Consumer
Guy Thornton,West,113.524,33.499,Consumer
Hallie Redmond,Central,1046.1,159.2974,Home Office
Hallie Redmond,East,5.94,1.6038,Home Office
Hallie Redmond,South,235.44,20.3978,Home Office
Hallie Redmond,West,11.808,4.2804,Home Office
Harold Dahlen,Central,122.052,-166.8786,Home Office
Harold Dahlen,East,129.308,31.0026,Home Office
Harold Engle,Central,285.802,86.6671,Corporate
Harold Engle,East,597.73,187.7357,Corporate
Harold Pawlan,Central,141.474,-106.638,Home Office
Harold Pawlan,East,1496.032,370.4429,Home Office
Harold Pawlan,South,111.15,48.906,Home Office
Harold Pawlan,West,241.658,61.1528,Home Office
Harold Ryan,East,1229.879,174.2146,Corporate
Harold Ryan,South,13.632,3.5784,Corporate
Harold Ryan,West,4005.276,1019.1574,Corporate
Harry Greene,Central,348.928,123.7276,Consumer
Harry Greene,East,366.8,1.6744,Consumer
Harry Greene,South,69.9,21.6012,Consumer
Harry Marie,Central,6621.4788,1996.8809,Corporate
Harry Marie,East,1172.942,287.7397,Corporate
Harry Marie,West,442.344,153.363,Corporate
Heather Jas,Central,53.72,13.9672,Home Office
Heather Jas,South,5.08,1.651,Home Office
Heather Jas,West,299.3,83.0366,Home Office
Heather Kirkland,Central,3300.194,617.3633,Corporate
Heather Kirkland,East,450.09,117.0234,Corporate
Heather Kirkland,South,71.408,20.9962,Corporate
Heather Kirkland,West,1056.092,201.5622,Corporate
Helen Abelman,Central,17.496,-7.4358,Consumer
Helen Abelman,East,1036.62,194.4406,Consumer
Helen Abelman,West,1109.184,83.8526,Consumer
Helen Andreada,Central,393.414,-123.5127,Consumer
Helen Andreada,East,14.2,3.3725,Consumer
Helen Andreada,South,645.136,78.1812,Consumer
Helen Andreada,West,1531.408,141.1035,Consumer
Helen Wasserman,Central,6100.746,1378.8752,Corporate
Helen Wasserman,East,355.32,99.4896,Corporate
Helen Wasserman,West,2844.188,685.7963,Corporate
Henia Zydlo,Central,120.6,-64.7538,Consumer
Henia Zydlo,East,42,15.8069,Consumer
Henia Zydlo,South,723.92,-81.441,Consumer
Henry Goldwyn,Central,1890.866,-2930.8861,Corporate
Henry Goldwyn,East,289.66,-67.9484,Corporate
Henry Goldwyn,South,84.64,33.9272,Corporate
Henry Goldwyn,West,982.476,166.9438,Corporate
Henry MacAllister,East,4.616,1.731,Consumer
Henry MacAllister,South,22.744,2.5149,Consumer
Henry MacAllister,West,708.916,113.0296,Consumer
Herbert Flentye,Central,43.85,20.483,Consumer
Herbert Flentye,East,430.94,68.6802,Consumer
Herbert Flentye,South,825.129,-242.5454,Consumer
Herbert Flentye,West,1233.245,139.5054,Consumer
Hilary Holden,West,218.668,86.7342,Corporate
Hunter Glantz,Central,2132.984,656.5762,Consumer
Hunter Glantz,East,350.06,72.3415,Consumer
Hunter Glantz,South,89.32,19.7976,Consumer
Hunter Glantz,West,1117.92,55.896,Consumer
Hunter Lopez,Central,491.348,139.3253,Consumer
Hunter Lopez,East,10522.55,5045.8564,Consumer
Hunter Lopez,South,1859.4,437.2475,Consumer
Ionia McGrath,West,2872.63,975.7701,Consumer
Irene Maddox,Central,1099.96,285.9896,Consumer
Irene Maddox,East,627.77,164.975,Consumer
Irene Maddox,South,1979.89,240.6027,Consumer
Irene Maddox,West,1222.854,-176.9146,Consumer
Ivan Gibson,East,370.14,144.3546,Consumer
Ivan Gibson,South,199.17,92.9308,Consumer
Ivan Gibson,West,175.264,83.2128,Consumer
Ivan Liston,Central,1827.294,458.2382,Consumer
Ivan Liston,East,1846.42,408.1498,Consumer
Ivan Liston,West,1367.022,255.549,Consumer
Jack Garza,South,312.322,-45.5154,Consumer
Jack Garza,West,2046.354,729.7065,Consumer
Jack Lebron,Central,34.752,4.8672,Consumer
Jack Lebron,East,57.792,1.24,Consumer
Jack Lebron,South,1118.428,-215.2972,Consumer
Jack Lebron,West,3.984,1.3944,Consumer
Jack O'Briant,Central,1671.93,456.9723,Corporate
Jack O'Briant,East,284.684,23.0232,Corporate
Jack O'Briant,South,87.94,26.341,Corporate
Jack O'Briant,West,1210.395,75.068,Corporate
James Galang,Central,769.024,95.2966,Consumer
James Galang,East,1848.238,525.0797,Consumer
James Galang,South,296.85,109.4121,Consumer
James Galang,West,3452.28,685.878,Consumer
James Lanier,South,101.139,1.4321,Home Office
James Lanier,West,1470.384,207.8496,Home Office
Jamie Frazer,East,1559.5,450.5109,Consumer
Jamie Frazer,South,362.176,37.3976,Consumer
Jamie Frazer,West,357.91,87.2174,Consumer
Jamie Kunitz,East,370.226,30.8391,Consumer
Jamie Kunitz,South,2063.144,631.8126,Consumer
Jamie Kunitz,West,1993.772,557.3313,Consumer
Jane Waco,East,320.024,96.9722,Corporate
Jane Waco,South,10.16,3.4544,Corporate
Jane Waco,West,7391.53,2073.2828,Corporate
Janet Lee,Central,104.92,-190.509,Consumer
Janet Lee,East,1091.548,156.8328,Consumer
Janet Lee,South,751.984,84.5982,Consumer
Janet Lee,West,255.248,3.5954,Consumer
Janet Martin,Central,954.902,-390.9563,Consumer
Janet Martin,East,1407.428,382.4389,Consumer
Janet Martin,South,378.496,23.1122,Consumer
Janet Martin,West,418.296,5.2287,Consumer
Janet Molinari,Central,550.836,137.3762,Corporate
Janet Molinari,East,1045.21,304.9421,Corporate
Janet Molinari,West,208.1,60.296,Corporate
Jas O'Carroll,East,0.852,-0.5964,Consumer
Jas O'Carroll,South,243.92,-54.882,Consumer
Jas O'Carroll,West,1689.5,257.6146,Consumer
Jason Fortune-,Central,120.888,17.3984,Consumer
Jason Fortune-,West,834.236,79.8906,Consumer
Jason Gross,Central,619.976,-65.6054,Corporate
Jason Gross,East,1112.06,91.7246,Corporate
Jason Gross,West,508.544,-22.3216,Corporate
Jason Klamczynski,Central,269.592,17.2983,Corporate
Jason Klamczynski,East,23.36,11.68,Corporate
Jason Klamczynski,West,90.86,26.3494,Corporate
Jasper Cacioppo,East,13.483,-5.9998,Consumer
Jasper Cacioppo,West,57.78,5.6442,Consumer
Jay Fein,Central,73.56,11.9676,Consumer
Jay Fein,East,122.62,51.6702,Consumer
